Disease,Precautions,Description,Foods to take,Foods to avoid
Asthma,"avoid triggers, use inhaler, regular checkups, stay active","A chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to difficulty breathing.","Leafy greens, apples, ginger, turmeric, salmon (rich in omega-3)","Processed foods, dairy products, fried foods, sulfites (found in wine), artificial additives"
Bronchitis,"quit smoking, stay hydrated, rest, avoid irritants","Inflammation of the bronchial tubes, often caused by infection or exposure to irritants, resulting in persistent cough and mucus production.","Warm soups, garlic, honey, ginger, turmeric, herbal teas","Dairy products, cold beverages, processed foods, sugary snacks"
Chickenpox,"rest, stay hydrated, avoid scratching, calamine lotion","A highly contagious viral infection causing an itchy rash and flu-like symptoms, primarily affecting children.","Oatmeal, smoothies, fruits (like bananas and apples), leafy vegetables, yogurt","Spicy foods, acidic foods (like tomatoes and citrus), salty snacks, fried foods"
Dengue,"use mosquito repellent, wear long sleeves, avoid stagnant water, stay hydrated","A mosquito-borne viral infection causing severe flu-like symptoms and, in severe cases, bleeding and organ damage.","Papaya leaves juice, pomegranate, coconut water, citrus fruits, green leafy vegetables","Oily foods, spicy foods, caffeine"
Eczema,"moisturize regularly, avoid triggers, use medicated creams, avoid scratching","A chronic skin condition causing inflammation, itching, and redness, often triggered by allergens or irritants.","Fatty fish, leafy greens, probiotics (like yogurt), apples, oatmeal","Dairy, gluten, processed foods, sugar, soy"
Flu,"rest, stay hydrated, over-the-counter pain relief, avoid close contact","A contagious respiratory illness caused by influenza viruses, leading to fever, aches, and respiratory symptoms.","Chicken soup, herbal teas, garlic, ginger, citrus fruits, honey","Dairy, sugar, caffeine, processed foods"
Gastritis,"eat smaller meals, avoid spicy food, avoid alcohol, take antacids","Inflammation of the stomach lining, often caused by infection, stress, or certain medications, leading to digestive discomfort.","Bananas, apples, oatmeal, boiled vegetables, lean meats","Spicy foods, acidic foods (like citrus and tomatoes), fried foods, alcohol"
Hepatitis B,"avoid alcohol, avoid hepatotoxic medications, get vaccinated, rest","A viral infection that attacks the liver, causing inflammation and potentially leading to chronic liver disease.","Fresh fruits, leafy vegetables, whole grains, nuts, lean proteins","Alcohol, fatty foods, processed foods, high-sodium foods"
Influenza,"rest, stay hydrated, take antiviral medication, avoid close contact","A viral infection affecting the respiratory system, causing fever, aches, and respiratory symptoms.","Warm broth, honey, ginger, garlic, citrus fruits","Sugary foods, processed foods, alcohol, fried foods"
Jaundice,"rest, avoid fatty foods, drink plenty of fluids, take prescribed medications","A condition characterized by yellowing of the skin and eyes due to elevated bilirubin levels, often indicating liver issues.","Carrots, tomatoes, spinach, beets, green tea, herbal teas","Fried foods, oily foods, red meat, processed sugars"
Kidney Stones,"drink plenty of water, avoid salt, take pain relievers, medical consultation","Hard deposits formed in the kidneys, causing severe pain and urinary issues when passing through the urinary tract.","Water, lemon juice, whole grains, green vegetables, low-sodium foods","Excess salt, animal protein, oxalate-rich foods (like spinach, beets), sugary drinks"
Lupus,"rest, use sun protection, take pain relief, get regular checkups","An autoimmune disease where the immune system attacks healthy tissues, causing inflammation and damage to various body parts.","Fatty fish, chia seeds, turmeric, ginger, colorful vegetables","Red meat, processed foods, saturated fats, alcohol"
Malaria,"use mosquito repellent, sleep under mosquito nets, take antimalarial drugs, stay hydrated","A mosquito-borne infectious disease caused by Plasmodium parasites, leading to severe flu-like symptoms and potentially fatal complications.","Orange juice, papaya, coconut water, lean meats, boiled vegetables","Fatty foods, spicy foods, caffeine, alcohol"
Nasal Polyp,"use nasal sprays, avoid allergens, surgery if severe, regular checkups","Noncancerous growths in the nasal passages or sinuses, causing breathing difficulties and reduced sense of smell.","Omega-3 rich foods (like fish), fruits, green leafy vegetables","Dairy, refined sugar, gluten, processed foods"
Osteoporosis,"consume calcium and vitamin D, engage in weight-bearing exercise, avoid smoking, regular bone density tests","A condition where bones become weak and brittle, increasing the risk of fractures.","Dairy products, leafy greens, almonds, fatty fish, fortified cereals","Salt, caffeine, soft drinks, alcohol"
Pneumonia,"get vaccinated, take antibiotics, rest, stay hydrated","An infection that inflames the air sacs in one or both lungs, causing cough, fever, and difficulty breathing.","Chicken soup, herbal teas, ginger, garlic, citrus fruits","Dairy, sugar, caffeine, fried foods"
Quinsy,"antibiotics, pain relief, avoid spicy foods, medical consultation","A complication of tonsillitis where pus forms near the tonsils, causing severe throat pain and difficulty swallowing.","Warm soups, honey, herbal teas, mashed vegetables, yogurt","Cold foods, spicy foods, sugary drinks, fried foods"
Rabies,"get vaccinated, avoid animal bites, seek medical attention, wound care","A viral disease transmitted through animal bites, causing severe neurological symptoms and often fatal if untreated.","High-protein foods, fruits, vegetables","Caffeine, alcohol, junk foods"
Sinusitis,"use nasal sprays, take pain relief, rest, stay hydrated","Inflammation of the sinuses, causing pain, congestion, and difficulty breathing.","Warm soups, ginger, garlic, herbal teas, pineapple","Dairy, sugar, fried foods, spicy foods"
Tetanus,"get vaccinated, wound care, take prescribed medications, seek medical attention","A bacterial infection causing severe muscle stiffness and spasms, often following a wound or cut.","Fruits, vegetables, whole grains, lean protein","Processed foods, sugary snacks, alcohol"
Urinary Tract Infection,"drink plenty of fluids, maintain good hygiene, take antibiotics, avoid irritants","An infection in any part of the urinary system, causing pain and frequent urination.","Cranberry juice, water, blueberries, probiotics, cucumbers","Spicy foods, alcohol, caffeine, acidic foods (like oranges and lemons)"
Vertigo,"rest, avoid sudden head movements, take prescribed medications, stay hydrated","A sensation of spinning or dizziness, often caused by inner ear problems.","Whole grains, ginger, almonds, citrus fruits","Caffeine, alcohol, high-sodium foods"
Whooping Cough,"get vaccinated, avoid close contact with infected, take prescribed medications, rest","A highly contagious respiratory disease causing severe coughing fits, particularly dangerous for infants.","Warm soups, honey, herbal teas, soft fruits, yogurt","Dairy, cold foods, processed foods, fried foods"
Xerosis,"moisturize regularly, avoid hot water, use gentle soaps, protect skin from dry air","Abnormally dry skin, often caused by environmental factors or underlying health conditions.","Omega-3 rich foods (like salmon), nuts, avocado, olive oil","Sugary foods, caffeine, processed snacks"
Zika Virus,"use mosquito repellent, wear long sleeves, avoid travel to affected areas, stay hydrated",A mosquito-borne virus causing mild symptoms in adults but can cause severe birth defects if contracted during pregnancy.,"Hydrating foods, citrus fruits, leafy greens, lean proteins","Caffeine, processed foods, alcohol"
Tuberculosis,"take prescribed antibiotics, avoid close contact with others, maintain good hygiene, regular medical checkups","A bacterial infection affecting the lungs, causing severe cough and respiratory issues.","Milk, fruits, lean meats, green leafy vegetables","Alcohol, caffeine, processed foods"
Measles,"get vaccinated, avoid close contact with infected individuals, rest, stay hydrated","A highly contagious viral infection causing fever, cough, and a characteristic rash.","Orange juice, papaya, honey, herbal teas, oatmeal","Spicy foods, fried foods, sugary snacks"
Mumps,"get vaccinated, avoid close contact with infected individuals, rest, stay hydrated","A viral infection causing swelling of the salivary glands, fever, and muscle aches.","Soft foods, soup, herbal teas, mashed potatoes, yogurt","Acidic foods, spicy foods, sugary snacks"
Cholera,"drink safe water, maintain good sanitation, take oral rehydration salts, seek medical attention","A bacterial infection causing severe diarrhea and dehydration, often spread through contaminated water.","Boiled vegetables, rice, bananas, coconut water","Raw foods, dairy, fatty foods, spicy foods"
Chikungunya,"use mosquito repellent, wear long sleeves, avoid mosquito bites, stay hydrated",A mosquito-borne viral disease causing fever and severe joint pain.,"Papaya leaves juice, green leafy vegetables, lean meats, fruits","Fatty foods, processed foods, sugary snacks"
Typhoid Fever,"drink safe water, maintain good sanitation, get vaccinated, take prescribed antibiotics","A bacterial infection spread through contaminated food and water, causing high fever and digestive issues.","Bananas, porridge, boiled potatoes, soft vegetables","Spicy foods, fried foods, dairy, alcohol"
Meningitis,"get vaccinated, avoid close contact with infected individuals, maintain good hygiene, seek medical attention","Inflammation of the protective membranes covering the brain and spinal cord, causing severe headache and fever.","Fruits, lean proteins, leafy greens, whole grains","Caffeine, processed foods, sugary snacks"
